ipeds_sfa_year,cpi_u_annual_average,real_base_year,source_key,source_url,verification_status,notes
2009,214.537,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2010,218.056,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2011,224.939,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2012,229.594,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2013,232.957,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2014,236.736,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2015,237.017,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2016,240.007,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2017,245.120,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2018,251.107,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2019,255.657,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2020,258.811,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2021,270.970,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2022,292.655,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
2023,304.702,2023,BLS-CPI-U-CUUR0000SA0-M13,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,verified,CPI-U all items annual average.
